QTL Search | OZ Sorghum						
QTL Id	Publication	Population	Trait Description	LG:Start-End (v3.0)	Genes Under QTL (v3.0)	Synteny
QDMGR3.8	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:14505157-14965844	18	
QDMGR3.9	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:14505157-14965844	18	
QDMGR3.10	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:14505157-14965844	18	
QDMGR3.11	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:14505157-14965844	18	
QDMGR3.12	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:16785559-45920667	267	
QDMGR4.9	Fiedler et al 2016	Pop1	Dry matter growth rate	4:71001-6578174	825	
QDMGR4.1	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	4:1081599-1237965	25	
QDMGR4.10	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	4:4595010-4649380	5	
QDMGR4.2	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	4:6600085-6623291	5	
QDMGR4.3	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	4:6600085-6623291	5	
QDMGR4.4	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	4:6600085-6623291	5	
QDMGR4.5	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	4:10365223-10785211	28	
QDMGR4.6	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	4:13599133-40221654	192	
QDMGR4.7	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	4:13599133-40221654	192	
QDMGR4.8	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	4:13599133-40221654	192	
QDMGR4.11	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	4:56172250-56211224	6	
QDMGR4.12	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	4:56172250-56211224	6	
