01	0	211157
01	0	4093151
01	0	10384146
01	0	13145267
01	3984727	7587829
01	4862819	7562505
01	5121172	10603925
01	8969025	10231643
01	12440782	12574938
01	12440782	12574938
01	12453078	17085695
01	14473430	24238624
01	22334383	52225029
01	24078773	53916420
01	24186681	52681319
01	24706144	49768400
01	53201472	53762081
01	53383165	60346271
01	54541207	58709704
01	55443908	57260691
01	57814833	67709468
01	59838155	65758901
01	60761235	63338491
01	62300652	63488948
01	62346177	63163769
01	63156348	64948356
01	63246853	63261969
01	64685255	66607564
01	65810643	66259704
01	65810643	66259704
01	67800819	71268120
01	67845190	70448561
01	67892129	67900035
01	67976288	70031057
01	67986544	69969008
01	67987870	69960981
01	68010881	72248842
01	68050538	72016423
01	68077922	69728620
01	69552100	71436960
01	69750253	71398896
01	69892099	74204679
01	69944222	72244293
01	70051648	71848220
01	70924602	76912479
01	71009231	74176341
01	74818452	78396425
01	74861286	75074421
01	75100899	75610212
01	75434106	80878678
01	76632844	77179306
01	77174548	80878678
01	77677015	80878678
01	77906780	80878678
01	78396425	80878678
02	1212467	1328598
02	20403133	48551270
02	46920192	47906825
02	53871073	55116774
02	55942086	58987393
02	59553889	59820305
02	60182134	66050977
02	60196248	62096609
02	60430131	61822597
02	61694064	62349440
02	61967503	62028321
02	62689548	64812500
02	64092800	70841631
02	65000264	65241434
02	65325908	65679315
02	65325908	65679315
02	66467661	67569058
02	70169066	71574179
02	70281793	71271489
03	0	1944223
03	0	2414897
03	1933237	4813552
03	2977479	6134556
03	2992535	3031013
03	2992535	3031013
03	3030648	6095949
03	10930634	11217098
03	10981234	11835426
03	11186989	16226614
03	54694928	55637718
03	57345229	57756253
03	57785983	59104763
03	58295561	62553856
03	58852769	62427436
03	60567650	63587224
03	60944106	65311221
03	61027324	61443413
03	61027324	61443413
03	62348756	65707234
03	65311221	69143817
03	65382012	69143846
03	65416545	69211928
03	67037126	67647534
03	67111051	72337616
03	67683265	74384257
03	69596756	69798756
03	69933510	72862046
04	0	6652660
04	2655500	4670409
04	4631797	7355684
04	6440072	6705702
04	6536334	6559540
04	6536334	6559540
04	7130950	7299969
04	7600729	7978358
04	7600729	7978358
04	8893914	10023005
04	10150746	51097958
04	12727824	50670016
04	13362712	50084108
04	40527714	50615790
04	41692886	45157832
04	49564880	49952466
04	51547982	53486830
04	52737876	53406976
04	53628830	61766744
04	55962847	61572196
04	61584928	62136015
04	61708307	61746000
04	61903404	61937534
05	1043559	1187186
05	1044889	1188516
05	1245237	2002798
05	1283034	1426661
05	4599482	4762582
05	6050109	7705679
05	6359430	51575227
05	10987116	11127884
05	11107972	52515528
05	52492430	52967943
05	62337310	62913651
05	67851150	68385071
05	68360067	69480720
06	0	588689
06	0	1474922
06	498577	1415885
06	1691177	2061323
06	1799691	2589025
06	2228951	8472349
06	2372572	3688256
06	3153035	14654536
06	3472068	20655330
06	3635207	46020000
06	3721369	39450587
06	4077524	40639054
06	4224132	44947718
06	4264655	45067310
06	4307792	39494908
06	4307792	39494908
06	4307792	39494908
06	4382639	5864933
06	4383582	21321994
06	4424055	7760215
06	4424055	7760215
06	7472684	42208514
06	17619179	21801773
06	21046774	44929023
06	21205500	44995144
06	22445901	43378078
06	24072026	38838096
06	24629142	28811735
06	27834658	38482472
06	39296212	43944566
06	39541646	40039487
06	39546321	40044162
06	39611012	42122635
06	39661770	43305946
06	39721670	43724638
06	39835707	40333547
06	40100000	44830000
06	40100000	44830000
06	40100000	47611759
06	40337939	42465701
06	40348730	43578364
06	40348730	43578364
06	40405204	41686861
06	40606494	47854118
06	40606494	47854118
06	40606494	47854118
06	40661071	42013476
06	41649521	42285016
06	41831804	42467299
06	41928794	42545634
06	42170213	42587281
06	42199287	42592297
06	42202457	46264575
06	42307792	47854118
06	42326720	42614282
06	42326720	42614282
06	42361473	42620277
06	42432612	42632550
06	42466029	42638315
06	42484550	42641510
06	42484550	42641510
06	42540842	43514210
06	42599451	42848188
06	42599455	42848208
06	43015157	43546856
06	43154841	43616603
06	43154841	43616603
06	43185450	43627390
06	43185450	43627390
06	43185450	43627390
06	43185450	43627390
06	43266670	43656011
06	43370397	43692563
06	43521211	43745709
06	43521211	43745709
06	43521211	43745709
06	43561140	43552650
06	43656256	43843622
06	45068058	50945027
06	45288171	51849509
06	45391187	45542964
06	45391187	45542964
06	45391187	45542964
06	45931679	46047954
06	46449918	47615779
06	46561447	47218142
06	46568000	47216519
06	46773612	48200277
06	46873431	48045350
06	46995444	47855975
06	47028784	48266492
06	47229819	48711265
06	47744992	48331292
06	47940683	48245242
06	47940683	48245242
06	47940683	48245242
06	48540991	53719119
06	49724186	50568221
06	49770430	58147596
06	51130764	51313487
06	51611228	52465988
06	52312980	53667965
06	52949402	53290251
06	52949402	53290251
06	54556952	55269043
06	54646541	56082737
06	55388365	57296015
06	55388930	55541541
06	56618606	61260478
06	58558543	60251431
06	60215708	60319261
06	60215713	60319275
06	60215713	60319275
07	2920365	3268283
07	3279177	6275405
07	3480589	6278744
07	4151830	4816827
07	6820348	58756180
07	6826568	57971602
07	7112525	55191952
07	7830451	9281783
07	7984338	55393154
07	8232161	55287444
07	8712875	57944556
07	8851333	57807640
07	9405940	54786763
07	9644158	54175110
07	10020434	53294723
07	42199948	57729128
07	52284804	57820875
07	53924374	57857968
07	55190663	57760757
07	55307429	58247129
07	55307429	58247129
07	55594212	57806097
07	55623179	58063222
07	55651706	57797202
07	55677613	57793194
07	55780308	57691804
07	55782851	57724245
07	55782851	57724245
07	55782851	57724245
07	55782851	57724245
07	55782851	57724245
