QTL Search | OZ Sorghum						
QTL Id	Publication	Population	Trait Description	LG:Start-End (v3.0)	Genes Under QTL (v3.0)	Synteny
QHGHT2.14	Marla et al 2019	"NAM (BTx623 x Niu Shen Zui, Hong Ke Zi & Kaoliang) - JLM"	Height (plant height)	2:46920192-47906825	28	
QHGHT2.11	Girma et al 2019	Ethiopian landraces	Height (plant height)	2:53871073-55116774	48	
QSLEN2.1	Bekele et al 2014	SS79/M71	Shoot length (seedling stage)	2:55942086-58987393	224	
QHGHT2.7	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	2:59553889-59820305	27	
QHGHT2.13	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	2:60182134-66050977	708	
QPLEN2.12	Parh 2005	IS8525/R931945-2-2	Panicle length	2:60196248-62096609	208	
QPLEN2.13	Rami et al 1998	IS2807/379	Panicle length	2:60430131-61822597	157	
QHGHT2.1	Shiringani et al 2010	M71/SS79	Height (plant height)	2:61694064-62349440	76	
QHGHT2.2	Mantilla Perez et al 2014	Sorghum Association Panel (SAP)	Height (plant height)	2:61967503-62028321	11	
QPLEN2.16	Srinivas et al 2009	296B/IS18551	Panicle length	2:62689548-64812500	275	
QHGHT2.12	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	2:64092800-70841631	899	
QHGHT2.10	Kong et al 2018	BTx623/IS3620C	Height (plant height)	2:65000264-65241434	37	
QHGHT2.3	Wang et al 2012	mini-core set	Height (plant height)	2:65325908-65679315	48	
QHGHT2.4	Wang et al 2012	mini-core set	Height (plant height)	2:65325908-65679315	48	
QHGHT2.8	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	2:66467661-67569058	165	
QPLEN2.23	Rami et al 1998	IS2807/249	Panicle length	2:70169066-71574179	192	
QHGHT2.5	Rami et al 1998	IS2807/249	Height (plant height)	2:70281793-71271489	128	
QHGHT3.1	Nagaraja Reddy et al 2013	M35-1/B35	Height (plant height)	3:0-1944223	234	
QHGHT3.2	Brown et al 2006	BTx623/IS3620C	Height (plant height)	3:0-2414897	284	
QHGHT3.3	Feltus et al 2006	BTx623/IS3620C	Height (plant height)	3:1933237-4813552	319	
QHGHT3.5	Hart et al 2001	BTx623/IS3620C	Height (plant height)	3:2977479-6134556	418	
QHGHT3.22	Kong et al 2018	BTx623/IS3620C	Height (plant height)	3:2992535-3031013	6	
QHGHT3.23	Kong et al 2018	BTx623/IS3620C	Height (flag leaf height)	3:2992535-3031013	6	
QHGHT3.4	Phuong et al 2013	IS2449/IS1488	Height (plant height)	3:3030648-6095949	404	
QHGHT3.6	Phuong et al 2013	IS2449/IS1488	Height (plant height)	3:10930634-11217098	29	
QHGHT3.7	Phuong et al 2013	IS2449/IS1488	Height (plant height)	3:10981234-11835426	83	
QHGHT3.8	Shiringani et al 2010	M71/SS79	Height (plant height)	3:11186989-16226614	314	
QHGHT3.9	Shiringani et al 2010	M71/SS79	Height (plant height)	3:54694928-55637718	92	
QHGHT3.10	Ritter et al 2008	R9188/R9403463-2-1	Height (plant height)	3:57345229-57756253	34	
QPLEN3.14	Rami et al 1998	IS2807/379	Panicle length	3:57785983-59104763	150	
QHGHT3.11	Lin et al 1995	BTx623/S. propinquum	Height (plant height)	3:58295561-62553856	529	
QHGHT3.17	Bai et al 2017	BTx623/Rio	Height (plant height)	3:58852769-62427436	444	
QHGHT3.14	Phuong et al 2013	IS2449/IS1488	Height (plant height)	3:60567650-63587224	403	
QHGHT3.15	Wang et al 2014a	ICSV745/R890562-1-2	Height (plant height)	3:60944106-65311221	573	
QHGHT3.12	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	3:61027324-61443413	46	
QHGHT3.13	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	3:61027324-61443413	46	
QPEDL3.1	Parh 2005	IS8525/R931945-2-2	Peduncle length	3:62348756-65707234	442	
QSHGT3.1	McCormick et al 2017	BTx623/IS3620C	shoot height	3:65311221-69143817	519	
QHGHT3.21	Harris-Shultz et al 2015	HoneyDrip/Collier	Height (plant height)	3:65382012-69143846	510	
QHGHT3.18	Bai et al 2017	BTx623/Rio	Height (plant height)	3:65416545-69211928	514	
QHGHT3.20	Harris-Shultz et al 2015	HoneyDrip/Collier	Height (plant height)	3:67037126-67647534	92	
QHGHT3.24	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	3:67111051-72337616	695	
QPLEN3.17	Pereira et al 1995	CK60/PI229828	Panicle length	3:67683265-74384257	899	
QHGHT3.19	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	3:69596756-69798756	33	
QHGHT3.16	Nagaraja Reddy et al 2013	M35-1/B35	Height (plant height)	3:69933510-72862046	387	
QHGHT4.22	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	4:0-6652660	839	
QHGHT4.2	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	4:2655500-4670409	257	
QHGHT4.6	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	4:4631797-7355684	309	
QHGHT4.5	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	4:6440072-6705702	36	
QHGHT4.3	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	4:6536334-6559540	5	
QHGHT4.4	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	4:6536334-6559540	5	
QHGHT4.19	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	4:7130950-7299969	10	
QHGHT4.7	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	4:7600729-7978358	42	
QHGHT4.8	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	4:7600729-7978358	42	
QHGHT4.9	Wang et al 2014a	IS8525/R931945-2-2	Height (plant height)	4:8893914-10023005	66	
QHGHT4.1	Mocoeur et al 2015	E-Tian/Ji2731	Height (plant height)	4:10150746-51097958	582	
QPEDL4.1	Klein et al 2001	RTx430/Sureno	Peduncle length	4:12727824-50670016	430	
QHGHT4.10	Klein et al 2001	RTx430/Sureno	Height (plant height)	4:13362712-50084108	384	
QHGHT4.11	Shiringani et al 2010	M71/SS79	Height (plant height)	4:40527714-50615790	202	
QHGHT4.18	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	4:41692886-45157832	41	
QHGHT4.20	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	4:49564880-49952466	8	
QHGHT4.12	Phuong et al 2013	IS2449/IS1488	Height (plant height)	4:51547982-53486830	167	
QHGHT4.15	Zhang et al 2015	Diverse set	Height (plant height)	4:52737876-53406976	68	
QHGHT4.16	Mocoeur et al 2015	E-Tian/Ji2731	Height (plant height)	4:53628830-61766744	966	
QHGHT4.13	Nagaraja Reddy et al 2013	M35-1/B35	Height (plant height)	4:55962847-61572196	659	
QHGHT4.14	Shiringani et al 2010	M71/SS79	Height (plant height)	4:61584928-62136015	71	
QHGHT4.21	Kong et al 2018	BTx623/IS3620C	Height (flag leaf height)	4:61708307-61746000	5	
QHGHT4.17	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	4:61903404-61937534	5	
QHGHT5.1	Mantilla Perez et al 2014	Sorghum Association Panel (SAP)	Height (plant height)	5:1043559-1187186	13	
QHGHT5.2	Mantilla Perez et al 2014	Sorghum Association Panel (SAP)	Height (plant height)	5:1044889-1188516	12	
QHGHT5.3	Phuong et al 2013	IS2449/IS1488	Height (plant height)	5:1245237-2002798	85	
QHGHT5.10	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	5:1283034-1426661	16	
QHGHT5.12	Kong et al 2018	BTx623/IS3620C	Height (flag leaf height)	5:4599482-4762582	21	
QHGHT5.4	Wang et al 2014a	IS8525/R931945-2-2	Height (plant height)	5:6050109-7705679	93	
QHGHT5.5	Nagaraja Reddy et al 2013	M35-1/B35	Height (plant height)	5:6359430-51575227	659	
QHGHT5.7	Zhang et al 2015	Diverse set	Height (flag leaf height)	5:10987116-11127884	10	
QHGHT5.6	Shiringani et al 2010	M71/SS79	Height (plant height)	5:11107972-52515528	449	
QHGHT5.8	Zhang et al 2015	Diverse set	Height (flag leaf height)	5:52492430-52967943	6	
QHGHT5.11	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	5:62337310-62913651	50	
QHGHT5.9	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	5:67851150-68385071	42	
QHGHT5.13	Girma et al 2019	Ethiopian landraces	Height (plant height)	5:68360067-69480720	101	
QHGHT6.1	Takai et al 2012	MS138B/74LH3213	Height (plant height)	6:0-588689	37	
QHGHT6.2	Kapanigowda et al 2014	Tx430/Tx7078	Height (plant height)	6:0-1474922	108	
QPLEN6.2	Takai et al 2012	MS138B/74LH3213	Panicle length	6:498577-1415885	75	
QPLEN6.3	Takai et al 2012	MS138B/74LH3213	Panicle length	6:1691177-2061323	24	
QHGHT6.3	Wang et al 2014a	ICSV745/R890562-1-2	Height (plant height)	6:1799691-2589025	41	
QPLEN6.4	Srinivas et al 2009	296B/IS18551	Panicle length	6:2228951-8472349	190	
QHGHT6.4	Takai et al 2012	MS138B/74LH3213	Height (plant height)	6:2372572-3688256	60	
QHGHT6.5	Brown et al 2006	BTx623/IS3620C	Height (plant height)	6:3153035-14654536	203	
QHGHT6.6	Feltus et al 2006	BTx623/IS3620C	Height (plant height)	6:3472068-20655330	214	
QSHCH6.1	McCormick et al 2017	BTx623/IS3620C	shoot cylinder height	6:3635207-46020000	714	
QTHGT6.1	Feltus et al 2006	BTx623/IS3620C	Tiller height	6:3721369-39450587	354	
QPLEN6.5	Parh 2005	IS8525/R931945-2-2	Panicle length	6:4077524-40639054	374	
QHGHT6.14	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	6:4224132-44947718	588	
QHGHT6.84	Bai et al 2017	BTx623/Rio	Height (plant height)	6:4264655-45067310	601	
QHGHT6.74	Zhang et al 2015	Diverse set	Height (flag leaf height)	6:4307792-39494908	325	
QHGHT6.75	Zhang et al 2015	Diverse set	Height (flag leaf height)	6:4307792-39494908	325	
QHGHT6.79	Zhang et al 2015	Diverse set	Height (plant height)	6:4307792-39494908	325	
QHGHT6.87	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	6:4382639-5864933	33	
QHGHT6.9	Nagaraja Reddy et al 2013	M35-1/B35	Height (plant height)	6:4383582-21321994	171	
QHGHT6.7	Wang et al 2012	mini-core set	Height (plant height)	6:4424055-7760215	87	
QHGHT6.8	Wang et al 2012	mini-core set	Height (plant height)	6:4424055-7760215	87	
QHGHT6.13	Feltus et al 2006	BTx623/S. propinquum	Height Uniformity	6:7472684-42208514	325	
QHGHT6.10	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	6:17619179-21801773	10	
QTHGT6.2	Feltus et al 2006	BTx623/S. propinquum	Tiller height	6:21046774-44929023	410	
QSILN6.1	Hilley et al 2016	Hegari/80M	Stem internode length	6:21205500-44995144	414	
QHGHT6.89	Yamaguchi et al 2016	bmr-6/SIL-05	Height (plant height)	6:22445901-43378078	316	
QHGHT6.12	Lin et al 1995	BTx623/S. propinquum	Height (plant height)	6:24072026-38838096	138	
QHGHT6.11	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	6:24629142-28811735	22	
QHGHT6.83	Zhao et al 2016	Sorghum Association Panel (SAP)	Height (plant height)	6:27834658-38482472	111	
QHGHT6.91	Gelli et al 2016	CK60/China17	Height (plant height)	6:39296212-43944566	209	
QHGHT6.15	Higgins et al 2014	FamilyC: SC1203/(LandracexBTx406)	Height (plant height)	6:39541646-40039487	19	
QHGHT6.16	Higgins et al 2014	FamilyA: SC673/(LandracexBTx406)	Height (plant height)	6:39546321-40044162	19	
QHGHT6.18	Ritter et al 2008	R9188/R9403463-2-1	Height (plant height)	6:39611012-42122635	87	
QHGHT6.22	Zou et al 2012	654/LTR108	Height (plant height)	6:39661770-43305946	158	
QHGHT6.25	Zou et al 2012	654/LTR108	Height (plant height)	6:39721670-43724638	190	
QHGHT6.17	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	6:39835707-40333547	22	
QSHCH6.2	McCormick et al 2017	BTx623/IS3620C	shoot cylinder height	6:40100000-44830000	230	
QSHCH6.3	McCormick et al 2017	BTx623/IS3620C	shoot cylinder height	6:40100000-44830000	230	
QSHGT6.1	McCormick et al 2017	BTx623/IS3620C	shoot height	6:40100000-47611759	503	
QHGHT6.20	Feltus et al 2006	BTx623/S. propinquum	Height (plant height)	6:40337939-42465701	70	
QHGHT6.73	Burrell et al 2015	BTx623/SC748-5	Height (plant height)	6:40348730-43578364	147	
QHGHT6.78	Burrell et al 2015	BTx623/SC748-5	Height (plant height)	6:40348730-43578364	147	
QHGHT6.19	Higgins et al 2014	FamilyD: SC1038/(LandracexBTx406)	Height (plant height)	6:40405204-41686861	36	
QHGHT6.76	Zhang et al 2015	Diverse set	Height (flag leaf height)	6:40606494-47854118	521	
QHGHT6.77	Zhang et al 2015	Diverse set	Height (flag leaf height)	6:40606494-47854118	521	
QHGHT6.81	Zhang et al 2015	Diverse set	Height (plant height)	6:40606494-47854118	521	
QHGHT6.82	Zhao et al 2016	Sorghum Association Panel (SAP)	Height (plant height)	6:40661071-42013476	44	
QHGHT6.21	Upadhyaya et al 2012b	mini-core set	Height (plant height)	6:41649521-42285016	23	
QHGHT6.23	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	6:41831804-42467299	29	
QHGHT6.24	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	6:41928794-42545634	33	
QHGHT6.95	Cuevas & Prom 2020	NPGS Sudan Sorghum Core collection	Height (plant height)	6:42170213-42587281	28	
QHGHT6.93	Kong et al 2018	BTx623/IS3620C	Height (plant height)	6:42199287-42592297	28	
QHGHT6.47	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	6:42202457-46264575	293	
QHGHT6.80	Zhang et al 2015	Diverse set	Height (plant height)	6:42307792-47854118	468	
QHGHT6.26	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	6:42326720-42614282	26	
QHGHT6.27	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	6:42326720-42614282	26	
QHGHT6.28	Higgins et al 2014	FamilyE: SC991/(LandracexBTx406)	Height (plant height)	6:42361473-42620277	22	
QHGHT6.86	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	6:42432612-42632550	18	
QHGHT6.92	Hilley et al 2017		Height (plant height)	6:42466029-42638315	17	
QHGHT6.29	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	6:42484550-42641510	16	
QHGHT6.30	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	6:42484550-42641510	16	
QHGHT6.33	Wang et al 2014a	IS8525/R931945-2-2	Height (plant height)	6:42540842-43514210	62	
QHGHT6.31	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	6:42599451-42848188	27	
QHGHT6.32	Higgins et al 2014	"Families A&B: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406))"	Height (plant height)	6:42599455-42848208	27	
QHGHT6.34	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	6:43015157-43546856	31	
QHGHT6.35	Higgins et al 2014	"Families A&B: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406))"	Height (plant height)	6:43154841-43616603	37	
QHGHT6.36	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	6:43154841-43616603	37	
QHGHT6.37	Higgins et al 2014	FamilyB: SC757/(LandracexBTx406)	Height (plant height)	6:43185450-43627390	36	
QHGHT6.38	Higgins et al 2014	"Families A&B: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406))"	Height (plant height)	6:43185450-43627390	36	
QHGHT6.39	Higgins et al 2014	FamilyB: SC757/(LandracexBTx406)	Height (plant height)	6:43185450-43627390	36	
QHGHT6.40	Higgins et al 2014	"Families A&B: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406))"	Height (plant height)	6:43185450-43627390	36	
QHGHT6.41	Higgins et al 2014	FamilyA: SC673/(LandracexBTx406)	Height (plant height)	6:43266670-43656011	32	
QHGHT6.42	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	6:43370397-43692563	29	
QHGHT6.43	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	6:43521211-43745709	22	
QHGHT6.44	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	6:43521211-43745709	22	
QHGHT6.45	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	6:43521211-43745709	22	
QHGHT6.94	Kong et al 2018	BTx623/IS3620C	Height (flag leaf height)	6:43561140-43552650	0	
QHGHT6.46	Higgins et al 2014	FamilyA: SC673/(LandracexBTx406)	Height (plant height)	6:43656256-43843622	9	
QHGHT6.85	Bai et al 2017	BTx623/Rio	Height (plant height)	6:45068058-50945027	701	
QPLEN6.10	Pereira et al 1995	CK60/PI229828	Panicle length	6:45288171-51849509	807	
QHGHT6.48	Higgins et al 2014	FamilyD: SC1038/(LandracexBTx406)	Height (plant height)	6:45391187-45542964	10	
QHGHT6.49	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	6:45391187-45542964	10	
QHGHT6.50	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	6:45391187-45542964	10	
QHGHT6.96	Cuevas & Prom 2020	NPGS Sudan Sorghum Core collection	Height (plant height)	6:45931679-46047954	10	
QHGHT6.52	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	6:46449918-47615779	125	
QHGHT6.51	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	6:46561447-47218142	64	
QHGHT6.53	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	6:46568000-47216519	63	
QHGHT6.54	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	6:46773612-48200277	168	
QHGHT6.55	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	6:46873431-48045350	144	
QHGHT6.56	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	6:46995444-47855975	108	
QHGHT6.57	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	6:47028784-48266492	161	
QHGHT6.58	Srinivas et al 2009	296B/IS18551	Height (plant height)	6:47229819-48711265	195	
QPLEN6.8	Srinivas et al 2009	296B/IS18551	Panicle length	6:47744992-48331292	84	
QHGHT6.59	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	6:47940683-48245242	40	
QHGHT6.60	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	6:47940683-48245242	40	
QHGHT6.61	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	6:47940683-48245242	40	
