QTL Search | OZ Sorghum						
QTL Id	Publication	Population	Trait Description	LG:Start-End (v3.0)	Genes Under QTL (v3.0)	Synteny
QHGHT6.62	Pereira and Lee 1995	CK60/PI229828	Height (plant height)	6:48540991-53719119	678	
QHGHT6.88	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	6:49724186-50568221	107	
QHGHT6.98	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	6:49770430-58147596	1112	
QHGHT6.97	Cuevas & Prom 2020	NPGS Sudan Sorghum Core collection	Height (plant height)	6:51130764-51313487	26	
QHGHT6.63	Kebede et al 2001	SC56/Tx7000	Height (plant height)	6:51611228-52465988	112	
QPLEN6.15	Rami et al 1998	IS2807/379	Panicle length	6:52312980-53667965	167	
QHGHT6.64	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	6:52949402-53290251	49	
QHGHT6.65	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	6:52949402-53290251	49	
QHGHT6.66	Shiringani et al 2010	M71/SS79	Height (plant height)	6:54556952-55269043	106	
QHGHT6.67	Kebede et al 2001	SC56/Tx7000	Height (plant height)	6:54646541-56082737	193	
QHGHT6.68	Srinivas et al 2009	296B/IS18551	Height (plant height)	6:55388365-57296015	267	
QHGHT6.90	Cuevas et al 2017	USDA-NPGS Ethiopian germplasm collection	Height (plant height)	6:55388930-55541541	24	
QPLEN6.19	Parh 2005	IS8525/R931945-2-2	Panicle length	6:56618606-61260478	666	
QHGHT6.69	Shiringani et al 2010	M71/SS79	Height (plant height)	6:58558543-60251431	249	
QHGHT6.70	Upadhyaya et al 2012b	mini-core set	Height (plant height)	6:60215708-60319261	16	
QHGHT6.71	Wang et al 2012	mini-core set	Height (plant height)	6:60215713-60319275	16	
QHGHT6.72	Wang et al 2012	mini-core set	Height (plant height)	6:60215713-60319275	16	
QHGHT7.1	Phuong et al 2013	IS2449/IS1488	Height (plant height)	7:2920365-3268283	32	
QHGHT7.2	Wang et al 2014a	ICSV745/R890562-1-2	Height (plant height)	7:3279177-6275405	257	
QHGHT7.3	Shiringani et al 2010	M71/SS79	Height (plant height)	7:3480589-6278744	247	
QHGHT7.88	Girma et al 2019	Ethiopian landraces	Height (plant height)	7:4151830-4816827	68	
QHGHT7.13	Shehzad and Okuno 2015	Red Kafir/Takakibi (F2:3)	Height (plant height)	7:6820348-58756180	956	
QHGHT7.63	Mocoeur et al 2015	E-Tian/Ji2731	Height (plant height)	7:6826568-57971602	897	
QHGHT7.5	Nagaraja Reddy et al 2013	M35-1/B35	Height (plant height)	7:7112525-55191952	699	
QHGHT7.4	Shiringani et al 2010	M71/SS79	Height (plant height)	7:7830451-9281783	90	
QHGHT7.9	Parh 2005	IS8525/R931945-2-2	Height (flag leaf height)	7:7984338-55393154	642	
QHGHT7.6	Parh 2005	IS8525/R931945-2-2	Height (plant height)	7:8232161-55287444	625	
QHGHT7.12	Shehzad and Okuno 2015	Red Kafir/Takakibi (F2)	Height (plant height)	7:8712875-57944556	777	
QHGHT7.10	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	7:8851333-57807640	759	
QHGHT7.7	Rami et al 1998	IS2807/249	Height (plant height)	7:9405940-54786763	538	
QPLEN7.6	Rami et al 1998	IS2807/379	Panicle length	7:9644158-54175110	496	
QHGHT7.8	Rami et al 1998	IS2807/379	Height (plant height)	7:10020434-53294723	445	
QHGHT7.11	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	7:42199948-57729128	379	
QHGHT7.14	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	7:52284804-57820875	282	
QSILN7.1	Hilley et al 2016	Hegari/80M	Stem internode length	7:53924374-57857968	231	
QHGHT7.15	Srinivas et al 2009	296B/IS18551	Height (plant height)	7:55190663-57760757	170	
QPLEN7.9	Takai et al 2012	MS138B/74LH3213	Panicle length	7:55307429-58247129	199	
QPLEN7.10	Takai et al 2012	MS138B/74LH3213	Panicle length	7:55307429-58247129	199	
QHGHT7.16	Takai et al 2012	MS138B/74LH3213	Height (plant height)	7:55594212-57806097	162	
QPLEN7.11	Takai et al 2012	MS138B/74LH3213	Panicle length	7:55623179-58063222	183	
QHGHT7.17	Takai et al 2012	MS138B/74LH3213	Height (plant height)	7:55651706-57797202	158	
QHGHT7.18	Takai et al 2012	MS138B/74LH3213	Height (plant height)	7:55677613-57793194	157	
QHGHT7.74	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	7:55780308-57691804	145	
QHGHT7.81	Girma et al 2019	Ethiopian landraces	Height (plant height)	7:55782851-57724245	148	
QHGHT7.82	Girma et al 2019	Ethiopian landraces	Height (plant height)	7:55782851-57724245	148	
QHGHT7.84	Girma et al 2019	Ethiopian landraces	Height (plant height)	7:55782851-57724245	148	
QHGHT7.85	Girma et al 2019	Ethiopian landraces	Height (plant height)	7:55782851-57724245	148	
QHGHT7.86	Girma et al 2019	Ethiopian landraces	Height (plant height)	7:55782851-57724245	148	
QHGHT7.87	Girma et al 2019	Ethiopian landraces	Height (plant height)	7:55782851-57724245	148	
QHGHT7.64	Burks et al 2015	Sweet sorghum diversity panel (n=252)	Height (plant height)	7:55782882-57692202	145	
QHGHT7.94	Marla et al 2019	BTx623/Kaoliang (CIM)	Height (plant height)	7:55801493-57714954	146	
QHGHT7.66	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	7:57683232-58901776	90	
QHGHT7.19	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	7:57709453-58412499	50	
QHGHT7.67	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	7:57716834-58775268	81	
QHGHT7.77	Boyles et al 2017	BTxARG-1/PI656056	Height (plant height)	7:57736518-58152279	30	
QHGHT7.59	Zhang et al 2015	Diverse set	Height (flag leaf height)	7:57800124-61308327	330	
QHGHT7.60	Zhang et al 2015	Diverse set	Height (flag leaf height)	7:57800124-61308327	330	
QHGHT7.62	Zhang et al 2015	Diverse set	Height (plant height)	7:57800124-61308327	330	
QHGHT7.65	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	7:57813909-58409795	43	
QHGHT7.20	Lin et al 1995	BTx623/S. propinquum	Height (plant height)	7:57821927-58423229	43	
QHGHT7.90	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	7:58123756-59529121	110	
QHGHT7.89	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	7:58160919-59527730	108	
QHGHT7.21	Feltus et al 2006	BTx623/IS3620C	Height (plant height)	7:58363680-58895137	41	
QSHCH7.1	McCormick et al 2017	BTx623/IS3620C	shoot cylinder height	7:58480000-61100000	254	
QHGHT7.26	Nagaraja Reddy et al 2013	M35-1/B35	Height (plant height)	7:58507805-59554217	84	
QPEDL7.1	Klein et al 2001	Rtx430/Sureno	Peduncle length	7:58684345-59149792	37	
QHGHT7.25	Wang et al 2014a	IS8525/R931945-2-2	Height (plant height)	7:58787996-59544652	61	
QSHGT7.1	McCormick et al 2017	BTx623/IS3620C	shoot height	7:58850000-61098149	227	
QPLEN7.12	Srinivas et al 2009	296B/IS18551	Panicle length	7:58858415-59547856	58	
QHGHT7.72	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	7:58866126-59546987	56	
QHGHT7.68	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	7:58884005-59546414	55	
QHGHT7.69	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	7:58890121-59546219	55	
QHGHT7.71	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	7:58954614-59544153	54	
QHGHT7.22	Feltus et al 2006	BTx623/IS3620C	Height Uniformity	7:58956891-59527324	53	
QSHCH7.2	McCormick et al 2017	BTx623/IS3620C	shoot cylinder height	7:59050000-61098149	213	
QSHGT7.2	McCormick et al 2017	BTx623/IS3620C	shoot height	7:59050000-61098149	213	
QHGHT7.28	Murray et al 2008a	BTx623/Rio	Height (plant height)	7:59100515-59540617	41	
QSHCH7.3	McCormick et al 2017	BTx623/IS3620C	shoot cylinder height	7:59200000-61098149	196	
QHGHT7.23	Higgins et al 2014	FamilyE: SC991/(LandracexBTx406)	Height (plant height)	7:59252522-59415955	18	
QHGHT7.91	Liu et al 2019	Tx623 x S. virgatum	Plant Height/Panicle Length	7:59257250-61520522	241	
QHGHT7.70	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	7:59299401-59535766	20	
QHGHT7.27	Srinivas et al 2009	296B/IS18551	Height (plant height)	7:59313469-59536089	19	
QPLEN7.13	Pereira et al 1995	CK60/PI229828	Panicle length	7:59318526-61466532	228	
QHGHT7.35	Burrell et al 2015	BTx623/SC748-5	Height (plant height)	7:59369311-59541275	17	
QHGHT7.61	Burrell et al 2015	BTx623/SC748-5	Height (plant height)	7:59369311-59541275	17	
QHGHT7.24	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	7:59411225-59527708	7	
QHGHT7.36	Zou et al 2012	654/LTR108	Height (plant height)	7:59482862-59544169	4	
QHGHT7.79	Kong et al 2018	BTx623/IS3620C	Height (plant height)	7:59527178-59530654	0	
QHGHT7.80	Kong et al 2018	BTx623/IS3620C	Height (flag leaf height)	7:59527178-59530654	0	
QHGHT7.92	Liu et al 2019	Tx623 x S. virgatum	Plant Height/Panicle Length	7:59528426-61227449	186	
QHGHT7.75	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	7:59529297-59532773	0	
QHGHT7.29	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	7:59529707-59533182	0	
QHGHT7.30	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	7:59529707-59533182	0	
QHGHT7.31	Higgins et al 2014	FamilyE: SC991/(LandracexBTx406)	Height (plant height)	7:59530115-59533591	0	
QHGHT7.32	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	7:59530650-59534126	1	
QHGHT7.33	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	7:59530650-59534126	1	
QHGHT7.34	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	7:59530650-59534126	1	
QHGHT7.45	Pereira and Lee 1995	CK60/PI229828	Height (plant height)	7:59531861-61538775	220	
QHGHT7.78	Mace and Jordan 2010		Height (plant height)	7:59532373-59535848	1	
QHGHT7.42	Guan et al 2011	Shihong137/L-Tian	Height (plant height)	7:59532884-59539609	1	
QTHGT7.1	Feltus et al 2006	BTx623/IS3620C	Tiller height	7:59533245-61194122	185	
QHGHT7.37	Higgins et al 2014	FamilyC: SC1203/(LandracexBTx406)	Height (plant height)	7:59533968-59537444	1	
QHGHT7.38	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	7:59533968-59537444	1	
QHGHT7.39	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	7:59533968-59537444	1	
QHGHT7.40	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	7:59533968-59537444	1	
QHGHT7.41	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	7:59533968-59537444	1	
QHGHT7.43	Hart et al 2001	BTx623/IS3620C	Height (plant height)	7:59540301-59550613	0	
QHGHT7.76	Yamaguchi et al 2016	bmr-6/SIL-05	Height (plant height)	7:59541977-61443045	208	
QHGHT7.44	Brown et al 2006	BTx623/IS3620C	Height (plant height)	7:59542158-59552927	0	
QHGHT7.73	Bai et al 2017	BTx623/Rio	Height (plant height)	7:59542355-59549769	0	
QHGHT7.46	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	7:59551731-61527847	218	
QPLEN7.14	Hart et al 2001	BTx623/IS3620C	Panicle length	7:59553534-61880495	255	
QHGHT7.83	Girma et al 2019	Ethiopian landraces	Height (plant height)	7:59554149-61141251	177	
QHGHT7.93	Marla et al 2019	BTx623/Hong Ke Zi (CIM)	Height (plant height)	7:59554845-61124012	173	
QHGHT7.95	Marla et al 2019	BTx623/Niu Shen Zui (CIM)	Height (plant height)	7:59554845-61124012	173	
QHGHT7.96	Marla et al 2019	"NAM (BTx623 x Niu Shen Zui, Hong Ke Zi & Kaoliang) - JLM"	Height (plant height)	7:59555540-61106772	169	
QHGHT7.97	Marla et al 2019	"NAM (BTx623 x Niu Shen Zui, Hong Ke Zi & Kaoliang) - JLM"	Height (plant height)	7:59555540-61106772	169	
QHGHT7.47	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	7:61174595-61610181	45	
QHGHT7.48	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	7:61186047-61860502	69	
QTHGT7.2	Hart et al 2001	BTx623/IS3620C	Tiller height	7:61208504-61729096	52	
QHGHT7.50	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	7:61296757-62011565	73	
QHGHT7.49	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	7:61413838-61894485	49	
QHGHT7.57	Parh 2005	IS8525/R931945-2-2	Height (plant height)	7:61806978-65460255	438	
QHGHT7.55	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	7:61910344-63327593	164	
QHGHT7.56	Feltus et al 2006	BTx623/S. propinquum	Height (plant height)	7:61971712-64586189	316	
QTHGT7.3	Feltus et al 2006	BTx623/S. propinquum	Tiller height	7:62056310-63903657	233	
QHGHT7.51	Higgins et al 2014	FamilyC: SC1203/(LandracexBTx406)	Height (plant height)	7:62075142-62161340	10	
QHGHT7.52	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	7:62075142-62161340	10	
QHGHT7.53	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	7:62075142-62161340	10	
QHGHT7.54	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	7:62110413-63178356	126	
QHGHT7.58	Parh 2005	IS8525/R931945-2-2	Height (flag leaf height)	7:62251233-64417344	266	
QSLEN8.1	Wang et al 2014b	Shihong137/L-Tian	Shoot length (seedling stage)	8:1896920-3249436	136	
QHGHT8.1	Mocoeur et al 2015	E-Tian/Ji2731	Height (plant height)	8:5070472-57519538	992	
QHGHT8.7	Girma et al 2019	Ethiopian landraces	Height (plant height)	8:6037710-6533374	36	
QHGHT8.6	Girma et al 2019	Ethiopian landraces	Height (plant height)	8:6037716-6533429	36	
QHGHT8.2	Shiringani et al 2010	M71/SS79	Height (plant height)	8:8198323-56470074	718	
QHGHT8.3	Phuong et al 2013	IS2449/IS1488	Height (plant height)	8:53884235-56649242	167	
QPLEN8.4	Hart et al 2001	BTx623/IS3620C	Panicle length	8:56660910-58901165	189	
QHGHT8.4	Shehzad and Okuno 2015	Red Kafir/Takakibi (F2)	Height (plant height)	8:56697504-59292212	219	
QHGHT8.5	Kong et al 2018	BTx623/IS3620C	Height (plant height)	8:57490102-57508475	1	
QHGHT9.66	Mocoeur et al 2015	E-Tian/Ji2731	Height (plant height)	9:396095-2369542	225	
QHGHT9.1	Lin et al 1995	BTx623/S. propinquum	Height (plant height)	9:1235434-2644633	158	
QHGHT9.92	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:2110000-2210286	10	
QHGHT9.86	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:2110015-2210294	10	
QHGHT9.87	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:2110017-2210295	10	
QHGHT9.89	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:2110020-2210297	10	
QHGHT9.88	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:2110022-2210298	10	
QHGHT9.90	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:2110024-2210299	10	
QHGHT9.85	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:2110028-2210301	10	
QHGHT9.91	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:2110030-2210302	10	
QPLEN9.4	Hart et al 2001	BTx623/IS3620C	Panicle length	9:2378085-2788079	48	
QHGHT9.2	Wang et al 2014a	Advanced Yield Test germplasm set	Height (plant height)	9:3081469-3358112	26	
QHGHT9.4	Brown et al 2006	BTx623/IS3620C	Height (plant height)	9:5121127-8157597	197	
QHGHT9.97	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:5233254-5507194	29	
QHGHT9.84	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:5233258-5507213	29	
QHGHT9.95	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:5233260-5507222	29	
QHGHT9.93	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:5233261-5507227	29	
QHGHT9.94	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:5233263-5507236	29	
QHGHT9.96	Girma et al 2019	Ethiopian landraces	Height (plant height)	9:5233266-5507250	29	
QHGHT9.3	Parh 2005	IS8525/R931945-2-2	Height (plant height)	9:5270218-8138133	188	
QHGHT9.67	Zhao et al 2016	Sorghum Association Panel (SAP)	Height (plant height)	9:8157530-8157633	0	
QHGHT9.5	Nagaraja Reddy et al 2013	M35-1/B35	Height (plant height)	9:8157572-47755439	561	
QHGHT9.77	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	9:45451222-47753233	111	
QHGHT9.78	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	9:48015059-48223206	26	
QHGHT9.6	Feltus et al 2006	BTx623/IS3620C	Height Uniformity	9:50485160-52315831	204	
QHGHT9.7	Shiringani et al 2010	M71/SS79	Height (plant height)	9:50633456-52598530	223	
QHGHT9.80	Gelli et al 2016	CK60/China17	Height (plant height)	9:50718886-51490320	77	
QHGHT9.101	Marla et al 2019	BTx623/Kaoliang (CIM)	Height (plant height)	9:51844540-52079569	38	
QHGHT9.8	Feltus et al 2006	BTx623/S. propinquum	Height (plant height)	9:51845427-56983864	709	
QHGHT9.10	Lin et al 1995	BTx623/S. propinquum	Height (plant height)	9:52500363-57941639	773	
QHGHT9.75	Bai et al 2017	BTx623/Rio	Height (plant height)	9:52719464-55273795	336	
QHGHT9.83	Kong et al 2018	BTx623/IS3620C	Height (plant height)	9:52872251-53122304	32	
QHGHT9.62	Zhang et al 2015	Diverse set	Height (flag leaf height)	9:53838641-59193962	745	
QHGHT9.63	Zhang et al 2015	Diverse set	Height (flag leaf height)	9:53838641-59193962	745	
QHGHT9.64	Zhang et al 2015	Diverse set	Height (plant height)	9:53838641-59193962	745	
QHGHT9.65	Zhang et al 2015	Diverse set	Height (plant height)	9:53838641-59193962	745	
QHGHT9.20	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	9:53864003-57979606	597	
QSILN9.1	Hilley et al 2016	Hegari/80M	Stem internode length	9:53891036-57860484	576	
QHGHT9.21	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	9:54218678-57958850	551	
QHGHT9.46	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	9:54697728-57997570	491	
QHGHT9.16	Takai et al 2012	MS138B/74LH3213	Height (plant height)	9:55057966-57915392	433	
QHGHT9.30	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	9:55353960-57947320	395	
QHGHT9.19	Wang et al 2014a	IS8525/R931945-2-2	Height (plant height)	9:55625467-57924294	344	
QHGHT9.9	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	9:55668348-56265567	89	
QHGHT9.45	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	9:56186991-57963139	263	
QHGHT9.102	Marla et al 2019	BTx623/Niu Shen Zui (CIM)	Height (plant height)	9:56568827-56776460	28	
QHGHT9.81	Boyles et al 2017	BTxARG-1/PI656056	Height (plant height)	9:56643753-57916549	192	
QHGHT9.11	Brown et al 2008	Sorghum Association Panel (SAP)	Height (preflag leaf height)	9:56779950-57194940	61	
QHGHT9.29	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	9:56941893-57917210	150	
QHGHT9.12	Wang et al 2014a	ICSV745/R890562-1-2	Height (plant height)	9:56942211-57292395	49	
QHGHT9.103	Marla et al 2019	"NAM (BTx623 x Niu Shen Zui, Hong Ke Zi & Kaoliang) - JLM"	Height (plant height)	9:57025621-57108674	14	
QHGHT9.31	Takai et al 2012	MS138B/74LH3213	Height (plant height)	9:57091740-57916828	126	
QHGHT9.74	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	9:57151967-58010305	128	
QHGHT9.13	Higgins et al 2014	FamilyD: SC1038/(LandracexBTx406)	Height (plant height)	9:57251733-57293293	5	
QHGHT9.14	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	9:57251733-57293293	5	
QHGHT9.15	Higgins et al 2014	FamilyD: SC1038/(LandracexBTx406)	Height (plant height)	9:57251733-57293293	5	
QHGHT9.17	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	9:57278359-57297926	1	
QHGHT9.18	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	9:57278359-57297926	1	
QHGHT9.44	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	9:57292539-57929942	105	
QHGHT9.76	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	9:57303035-57536560	39	
QHGHT9.22	Higgins et al 2014	FamilyB: SC757/(LandracexBTx406)	Height (plant height)	9:57327486-57634721	46	
QHGHT9.23	Higgins et al 2014	"Families A&B: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406))"	Height (plant height)	9:57327486-57634721	46	
QHGHT9.24	Higgins et al 2014	"Families A&B: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406))"	Height (plant height)	9:57327486-57634721	46	
QHGHT9.25	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	9:57327486-57634721	46	
QHGHT9.26	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	9:57327486-57634721	46	
QHGHT9.27	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	9:57327486-57634721	46	
QHGHT9.28	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	9:57327486-57634721	46	
QHGHT9.73	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	9:57441509-57986367	90	
QHGHT9.49	Takai et al 2012	MS138B/74LH3213	Height (plant height)	9:57474075-57954737	81	
QHGHT9.56	Pereira and Lee 1995	CK60/PI229828	Height (plant height)	9:57489318-59398238	252	
QHGHT9.68	Zhao et al 2016	Sorghum Association Panel (SAP)	Height (plant height)	9:57497672-57777093	45	
QHGHT9.32	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	9:57498502-57777777	46	
QHGHT9.33	Higgins et al 2014	FamilyB: SC757/(LandracexBTx406)	Height (plant height)	9:57498502-57777777	46	
QHGHT9.34	Higgins et al 2014	"Families A&B: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406))"	Height (plant height)	9:57498502-57777777	46	
QHGHT9.35	Higgins et al 2014	"Families A&B: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406))"	Height (plant height)	9:57498502-57777777	46	
QHGHT9.36	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	9:57498502-57777777	46	
QHGHT9.37	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	9:57498502-57777777	46	
QHGHT9.38	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	9:57498502-57777777	46	
QHGHT9.39	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	9:57498502-57777777	46	
QHGHT9.82	Hilley et al 2016		Height (plant height)	9:57589609-57852937	43	
QHGHT9.40	Upadhyaya et al 2012b	mini-core set	Height (plant height)	9:57605941-57866409	44	
QHGHT9.41	Wang et al 2012	mini-core set	Height (plant height)	9:57605971-57866434	44	
QHGHT9.42	Wang et al 2012	mini-core set	Height (plant height)	9:57605971-57866434	44	
QHGHT9.69	Zhao et al 2016	Sorghum Association Panel (SAP)	Height (plant height)	9:57650529-57899639	43	
QHGHT9.100	Marla et al 2019	BTx623/Hong Ke Zi (CIM)	Height (plant height)	9:57722044-57874117	27	
QHGHT9.43	Higgins et al 2014	"Families A&B&C&D&E: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406)), (SC991/(LandracexBTx406))"	Height (plant height)	9:57732191-57902814	30	
QHGHT9.47	Nagaraja Reddy et al 2013	M35-1/B35	Height (plant height)	9:57775368-57916277	27	
QHGHT9.72	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	9:57900599-57968816	10	
QHGHT9.61	Nagaraja Reddy et al 2013	M35-1/B35	Height (plant height)	9:57903966-59398238	182	
QHGHT9.57	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	9:57908288-59398238	181	
