genotype	max_height_cm	max_growth_cm_gdd
PI329614	337.257094498399	0.32102902796711
PI329541	288.32900698905	0.318293379267461
PI330199	274.930183198425	0.390403071732195
PI329673	282.706700036984	0.394155724489783
PI329517	320.15997743324	0.389237454812226
PI563338	256.939799461246	0.241709762251915
PI562985	241.669843936433	0.282459972996246
PI562897	323.909012714706	0.378447094827671
PI297171	327.170480081382	0.364199216798488
PI505717	280.83919109633	0.430804177230559
PI329319	350.572872274474	0.410790065688864
PI152828	320.524204217788	0.36140686130421
PI180348	260.416115053203	0.401131567711015
PI569418	338.753530480972	0.512927158424617
PI569421	249.103385685263	0.340884899803729
PI156487	261.703239189292	0.394539490903678
PI330803	314.48292875481	0.307350319749777
PI563355	241.566415311345	0.298408637556735
PI154750	345.860157897541	0.394381747112075
PI656015	326.952447542718	0.355038050426477
PI656065	257.369119189276	0.390796308361938
PI452692	320.617294692145	0.41031927861603
PI562781	290.735106094402	0.300630240812142
PI330185	395.45565176654	0.452147228869999
PI329518	244.020820221996	0.270685879609389
PI179749	310.20080218551	0.41325167488723
PI329570	267.963023138955	0.357082663995576
PI156268	287.039786120676	0.398849669085318
PI329466	324.41107440159	0.454744234660557
PI506069	306.544353772586	0.340736495959808
PI563022	304.795185124566	0.369089184426579
PI329585	280.849955747885	0.273486039410238
PI641836	299.258861404334	0.492798365231246
PI52606	291.85624359862	0.252571857196026
PI157035	292.378412662855	0.383136033064442
PI569458	306.318410735171	0.404339806216739
PI329605	345.22369777903	0.400616781092691
PI643008	331.447358088503	0.379013324605714
PI586541	367.328345018353	0.445828642339262
PI337680	248.759304860314	0.293775767407583
PI570071	291.754547054989	0.258319627154617
PI329478	274.364681771894	0.386407379874404
PI521280	301.605740147899	0.315795534617196
PI655978	254.563376682265	0.264548098542231
PI455301	285.086858982738	0.32710030520564
PI570388	313.252317474792	0.424543684266401
PI506114	296.225081551282	0.317885821174483
PI167093	298.922817595898	0.436830630635316
PI196598	330.392071206828	0.367621851422122
PI569462	275.440592509992	0.409542755311771
PI329440	289.211275316101	0.352509988707726
PI641817	253.366770247366	0.427015020490236
PI152923	254.478529179525	0.334271028606111
PI646251	292.6305530964	0.409848891103407
PI562990	299.592763329867	0.369942103745647
PI266927	311.597269066888	0.441474399918724
PI152591	309.15185143492	0.358216245196179
PI569453	275.068950196603	0.283868448225862
PI535794	270.158992451833	0.230358714886608
PI453696	316.310293734165	0.428493344002764
PI329506	248.304715465817	0.321173142501906
PI329632	293.627389161132	0.352694868275413
PI585608	323.243515105938	0.403692551795842
PI329702	319.295252614792	0.431815873389777
PI620157	332.604189195802	0.41824088438578
PI569457	261.920519713326	0.367841396830702
PI570085	298.075008757266	0.273011524178704
PI330195	259.003640927136	0.320730593367437
PI535792	246.098225504195	0.239862101680314
PI513898	232.324083918061	0.259706367998847
PI562732	299.858470012793	0.399082151350084
PI619807	259.904208924707	0.423626660180907
PI330807	232.636689580885	0.26940059858686
PI145619	288.024216831179	0.398475345466595
PI585577	242.768823974606	0.2570802649493
PI329545	269.587624348564	0.354766559610918
PI157030	281.472623237091	0.370883591930481
PI273465	340.520775369407	0.440070493884097
PI144134	300.218151669637	0.436149957979549
PI152816	310.758310841634	0.341591811859494
PI562981	246.371465946939	0.278020979149276
PI569264	367.642537133089	0.36808502225482
PI570090	277.561313182529	0.340690332114804
PI330181	280.926713620273	0.347175547865554
PI329394	353.992062630364	0.382970821237054
PI569447	297.347946334868	0.376083192901838
PI217691	243.073093197273	0.318197768809746
PI22913	306.70229845943	0.400054696347154
PI641909	334.990332170442	0.530541334629328
PI570031	246.922906512716	0.359587431670281
PI329286	254.565436589574	0.281630639053452
PI329711	246.275483998386	0.279889532202849
PI329843	254.72992733172	0.441333161091467
PI152966	316.981895443414	0.366934162835433
PI152727	281.00917800975	0.386652709513693
PI152967	287.503264072821	0.418938095891955
PI586435	285.980499377651	0.424560273433225
PI330182	328.212716870527	0.474746148448278
PI196586	286.220316313998	0.430433607559897
PI540518	234.523354958885	0.314186492682403
PI152961	282.511888786855	0.39134247842399
PI154988	253.941868204913	0.282434882956827
PI562997	306.000817787702	0.450586297764779
PI651491	347.819171018645	0.412305112856452
PI221548	321.429237469685	0.424439706697393
PI562994	344.060586271491	0.389123853143676
PI329403	316.544249817544	0.400168797778802
PI255239	334.434415912039	0.410953874632388
PI152651	219.529604685683	0.289405146724946
PI514456	256.754865815765	0.346651186336395
PI329351	276.423784719793	0.345882975440593
PI563332	324.669079233679	0.383377912907424
PI569465	228.202647903068	0.308352797151294
PI229841	300.031785673965	0.430532284316036
PI154844	345.553737174337	0.393049732735295
PI569420	261.673645132896	0.426056461697865
PI570431	295.872276363769	0.377821740604985
PI569422	245.728711903838	0.296572312529144
PI641825	256.557222447767	0.429547917281117
PI585461	250.429595363339	0.269411773707314
PI641850	309.132052215896	0.454302375601113
PI535796	271.462372122734	0.453435300072139
PI524475	244.16316580052	0.249637710494779
PI656035	305.618881227592	0.478190980156405
PI455280	327.782455652419	0.410279640756547
PI330184	302.614048891361	0.301689713060448
